;top words n1;top words n2;top words n3;top words n4;top words n5;top words n6;top words n7;top words n8;top words n9;top words n10;cluster;size;
54;('treatment', 0.029);('causal', 0.027);('effect', 0.025);('outcome', 0.015);('intervention', 0.014);('effects', 0.012);('estimate', 0.011);('outcomes', 0.011);('y_', 0.01);('dag', 0.01);54;107;Econometrics
45;('tree', 0.029);('trees', 0.026);('xgboost', 0.022);('boosting', 0.021);('forest', 0.02);('random', 0.015);('training', 0.015);('decision', 0.014);('forests', 0.013);('gradient', 0.011);45;106;Decision Trees
38;('spark', 0.087);('sparklyr', 0.036);('sparkr', 0.023);('drill', 0.017);('apache', 0.016);('scala', 0.016);('sql', 0.015);('cluster', 0.015);('databricks', 0.013);('azure', 0.01);38;105;Data Engineering
42;('animation', 0.038);('gganimate', 0.017);('animated', 0.016);('animations', 0.014);('gif', 0.014);('lego', 0.013);('art', 0.012);('image', 0.012);('rotation', 0.012);('frames', 0.01);42;93;Animations
71;('blogdown', 0.046);('hugo', 0.04);('theme', 0.032);('blog', 0.026);('jekyll', 0.026);('website', 0.025);('site', 0.024);('netlify', 0.023);('posts', 0.019);('rss', 0.018);71;87;Blogging
24;('date', 0.064);('dates', 0.042);('lubridate', 0.031);('posixct', 0.023);('datetime', 0.02);('timezone', 0.019);('format', 0.017);('interval', 0.016);('posixlt', 0.014);('convert', 0.013);24;85;Date Format
78;('tidyverse', 0.029);('tidy', 0.018);('tidymodels', 0.012);('packages', 0.01);('dplyr', 0.009);('fastverse', 0.008);('tidyr', 0.007);('saudi', 0.007);('aramco', 0.007);('columns', 0.006);78;84;Tidyverse
6;('matches', 0.047);('runs', 0.046);('ipl', 0.044);('batsman', 0.04);('wickets', 0.04);('bowlers', 0.04);('batsmen', 0.039);('t20', 0.039);('yorkr', 0.034);('cricketr', 0.032);6;80;Cricket
10;('pca', 0.065);('principal', 0.057);('components', 0.042);('component', 0.027);('variables', 0.016);('pcs', 0.013);('variance', 0.012);('matrix', 0.012);('pc', 0.011);('pcr', 0.01);10;78;PCA
83;('v0', 0.077);('vignette', 0.057);('provides', 0.047);('v1', 0.042);('implements', 0.04);('al', 0.03);('et', 0.03);('vignettes', 0.024);('functions', 0.02);('introduction', 0.016);83;73;Packages Picks
17;('shinyproxy', 0.049);('server', 0.045);('docker', 0.041);('shiny', 0.037);('apps', 0.035);('nginx', 0.027);('heroku', 0.025);('app', 0.024);('port', 0.018);('configuration', 0.018);17;72;Rshiny Deployement
67;('git', 0.079);('commit', 0.036);('github', 0.026);('repository', 0.021);('commits', 0.017);('control', 0.016);('gitlab', 0.016);('repo', 0.016);('repositories', 0.015);('branch', 0.015);67;68;Git
37;('plotly', 0.108);('dash', 0.028);('ly', 0.026);('interactive', 0.023);('plot', 0.019);('chart', 0.018);('python', 0.017);('plots', 0.016);('graphs', 0.016);('3d', 0.013);37;67;Plotly
65;('finance', 0.082);('conference', 0.045);('chicago', 0.037);('presentations', 0.022);('presenters', 0.022);('financial', 0.021);('2012', 0.017);('talks', 0.016);('presentation', 0.016);('details', 0.016);65;65;Finance conferences
11;('kaggle', 0.029);('competition', 0.021);('training', 0.01);('challenge', 0.01);('features', 0.01);('dataset', 0.009);('apartment', 0.007);('learning', 0.007);('machine', 0.007);('variables', 0.006);11;64;Kaggle
29;('aws', 0.042);('ec2', 0.035);('instance', 0.026);('amazon', 0.025);('server', 0.022);('cloud', 0.019);('ami', 0.017);('rstudio', 0.015);('ssh', 0.014);('terraform', 0.011);29;63;AWS
32;('songs', 0.043);('music', 0.037);('album', 0.036);('song', 0.035);('lyrics', 0.027);('albums', 0.022);('genres', 0.022);('words', 0.019);('genre', 0.017);('artists', 0.014);32;62;Music
73;('pipe', 0.079);('magrittr', 0.055);('operator', 0.037);('wrapr', 0.03);('piping', 0.027);('pipeline', 0.023);('pipes', 0.022);('dot', 0.016);('dplyr', 0.014);('argument', 0.014);73;61;R learning
34;('google', 0.045);('api', 0.043);('nldi', 0.019);('query', 0.017);('apis', 0.017);('spreadsheet', 0.015);('request', 0.014);('analytics', 0.013);('json', 0.013);('sheets', 0.011);34;59;Google
40;('rankings', 0.044);('poll', 0.041);('languages', 0.039);('survey', 0.038);('popularity', 0.035);('kdnuggets', 0.034);('tiobe', 0.033);('software', 0.03);('sas', 0.03);('rexer', 0.029);40;59;Programming languages survey
84;('littler', 0.075);('digest', 0.038);('hash', 0.038);('sha', 0.035);('release', 0.034);('debian', 0.029);('repo', 0.026);('cran', 0.023);('originated', 0.023);('excessive', 0.023);84;59;Debian
43;('dalex', 0.033);('models', 0.016);('explanations', 0.015);('ml', 0.015);('xai', 0.012);('iml', 0.011);('overs', 0.01);('explainers', 0.01);('machine', 0.009);('importance', 0.009);43;58;Explainability
20;('movies', 0.046);('movie', 0.039);('episode', 0.027);('imdb', 0.025);('ratings', 0.019);('rating', 0.019);('episodes', 0.017);('films', 0.017);('film', 0.017);('tv', 0.016);20;57;Movies
26;('seed', 0.042);('random', 0.031);('rng', 0.018);('361322', 0.017);('permutation', 0.013);('game', 0.013);('numbers', 0.013);('sample', 0.013);('permutations', 0.012);('tac', 0.012);26;56;Randomnes
44;('node', 0.071);('nodes', 0.063);('edges', 0.047);('network', 0.042);('gd', 0.035);('igraph', 0.034);('edge', 0.031);('networks', 0.019);('graph', 0.018);('hpd', 0.017);44;55;Graphs
39;('questions', 0.045);('stackoverflow', 0.026);('answers', 0.025);('stack', 0.024);('question', 0.023);('overflow', 0.022);('help', 0.021);('tags', 0.018);('site', 0.018);('tag', 0.015);39;54;Stackoverlfow
47;('visualization', 0.026);('visual', 0.011);('scatter', 0.01);('chart', 0.01);('visualizations', 0.01);('graphs', 0.009);('charts', 0.008);('visuals', 0.008);('tableau', 0.008);('plots', 0.008);47;53;Data Visualisation
3;('bio7', 0.22);('rserve', 0.087);('imagej', 0.067);('java', 0.05);('macosx', 0.045);('installation', 0.036);('install', 0.035);('linux', 0.031);('transfer', 0.031);('preferences', 0.028);3;50;Bio7
63;('milanor', 0.133);('meeting', 0.09);('milano', 0.061);('quantide', 0.033);('stefano', 0.031);('oscuri', 0.027);('fiori', 0.027);('andrea', 0.024);('net', 0.021);('event', 0.019);63;50;Milano meeting
35;('inequality', 0.031);('gini', 0.03);('expectancy', 0.03);('life', 0.03);('income', 0.028);('age', 0.022);('countries', 0.02);('mortality', 0.019);('gdp', 0.016);('death', 0.015);35;49;Economics
61;('azure', 0.071);('vm', 0.043);('storage', 0.031);('orch', 0.029);('databricks', 0.025);('oracle', 0.025);('virtual', 0.024);('hdfs', 0.024);('resource', 0.022);('mapreduce', 0.019);61;48;Azure and Big Data
13;('species', 0.053);('gbif', 0.023);('ebird', 0.022);('biodiversity', 0.02);('birds', 0.02);('occurrence', 0.018);('bird', 0.017);('records', 0.017);('names', 0.015);('auk', 0.013);13;47;Biodiversity
1;('gold', 0.324);('fantasy', 0.317);('football', 0.28);('mining', 0.263);('appeared', 0.214);('week', 0.192);('analytics', 0.154);('cbs', 0.106);('2019', 0.088);('2020', 0.066);1;45;Gold mining week
14;('mcmski', 0.067);('isba', 0.053);('chamonix', 0.038);('iv', 0.036);('conference', 0.032);('bayescomp', 0.031);('sessions', 0.031);('registration', 0.03);('ski', 0.025);('january', 0.022);14;44;MCMSki
80;('table', 0.071);('dt', 0.036);('frame', 0.016);('columns', 0.015);('tree', 0.011);('rows', 0.011);('faster', 0.011);('column', 0.01);('c5', 0.01);('treedata', 0.01);80;44;dt table
21;('tidymodels', 0.03);('tidytuesday', 0.029);('modeling', 0.028);('video', 0.019);('screencasts', 0.019);('resamples', 0.018);('recipe', 0.018);('screencast', 0.018);('let', 0.017);('fit', 0.017);21;43;Tidymodels
25;('anytime', 0.086);('cctz', 0.055);('rcppcctz', 0.053);('release', 0.045);('civil', 0.038);('dirk', 0.032);('originated', 0.031);('excessive', 0.03);('eddelbuettel', 0.029);('timezone', 0.028);25;43;Date Format
48;('graphics', 0.018);('plot', 0.016);('plots', 0.016);('axis', 0.014);('wv', 0.014);('graphs', 0.012);('charts', 0.012);('chart', 0.011);('visualizations', 0.011);('visualization', 0.011);48;43;Data Visualisation
64;('statistics', 0.029);('statistical', 0.018);('students', 0.017);('statisticians', 0.012);('teaching', 0.011);('books', 0.011);('maths', 0.011);('sas', 0.011);('school', 0.01);('00031305', 0.01);64;42;R Academics
2;('nimble', 0.148);('mcmc', 0.048);('youngstats', 0.027);('hierarchical', 0.021);('mixture', 0.021);('models', 0.021);('bugs', 0.02);('nonparametric', 0.017);('webinar', 0.017);('posterior', 0.016);2;41;NIMBLE
